cluster_id,cluster_label,top_terms,total_arguments,known_outcomes,winners,losers,win_rate,win_rate_pct
0,sustainability / term / long,sustainability | term | long,964,871,438,433,0.5028702640642939,50.28702640642939
1,privacy / data / moral,privacy | data | moral,2780,2372,1165,1207,0.4911467116357504,49.11467116357504
2,data / risk / time,data | risk | time,3596,3195,1577,1618,0.49358372456964006,49.358372456964005
3,creativity / creative / moral,creativity | creative | moral,1454,1309,673,636,0.5141329258976318,51.41329258976318
4,moral / ethical / justice,moral | ethical | justice,2872,2574,1283,1291,0.49844599844599846,49.84459984459985
5,learning / wisdom / users,learning | wisdom | users,3210,2995,1509,1486,0.5038397328881469,50.38397328881469
6,ai / human / data,ai | human | data,2519,2294,1135,1159,0.49476896251089797,49.4768962510898
7,harm / risk / care,harm | risk | care,2690,2424,1190,1234,0.4909240924092409,49.09240924092409
8,action / action action / morally,action | action action | morally,959,889,447,442,0.5028121484814398,50.28121484814398
9,trust / truthfulness / transparency,trust | truthfulness | transparency,2713,2407,1234,1173,0.5126713751557956,51.26713751557956
